time, ATMP, SWTMP, RH,       DEWP2, PRES, WSPD,  WDIR, PrecipTotal
 UTC ,degC, degC, percent , degC, mbar, m/s,   deg,  mm
5/31/2023 18:00,7.3,2.93,88.9,5.6,1014,1.7,44,0.2
5/31/2023 18:10,7.7,2.93,88.6,5.9,1013.91,1.3,49,0.2
5/31/2023 18:20,7.4,2.96,88.2,5.6,1013.91,1.5,42,0.2
5/31/2023 18:30,6.9,2.95,89.7,5.3,1013.99,1.9,35,0.2
5/31/2023 18:40,7,2.9,88.8,5.3,1014.04,2.3,46,0.2
5/31/2023 18:50,6.1,2.93,90.4,4.7,1014.07,2.4,41,0.2
5/31/2023 19:00,6.4,2.92,89.7,4.8,1014.02,2.6,53,0.2
5/31/2023 19:10,6.2,2.94,90.1,4.7,1013.91,2.2,36,0.2
5/31/2023 19:20,6,2.93,91,4.6,1013.88,2.3,24,0.2
5/31/2023 19:30,6.2,2.95,90.1,4.7,1013.79,2.1,30,0.2
5/31/2023 19:40,6.8,2.94,88.2,5,1013.73,1.6,55,0.2
5/31/2023 19:50,7.2,2.92,87.2,5.2,1013.71,1.9,63,0.2
5/31/2023 20:00,7,2.91,88.2,5.2,1013.77,2,76,0.2
5/31/2023 20:10,6.5,2.9,89.2,4.9,1013.67,2.3,47,0.2
5/31/2023 20:20,6.8,2.94,88.7,5.1,1013.82,2,43,0.2
5/31/2023 20:30,6.4,2.97,89,4.7,1013.72,1.8,59,0.2
5/31/2023 20:40,6,2.99,88.9,4.3,1013.76,1.2,5,0.2
5/31/2023 20:50,6.1,2.96,88.7,4.4,1013.7,1.5,29,0.2
5/31/2023 21:00,6,2.94,88.7,4.3,1013.65,2,38,0.2
5/31/2023 21:10,5.8,2.97,88.7,4,1013.7,1.8,31,0.2
5/31/2023 21:20,6,2.95,88,4.2,1013.6,2.1,32,0.2
5/31/2023 21:30,6.2,2.92,87.8,4.3,1013.6,1.8,10,0.2
5/31/2023 21:40,6.5,2.95,86.8,4.5,1013.53,2.5,47,0.2
5/31/2023 21:50,6.7,2.95,86,4.6,1013.34,2.5,49,0.2
5/31/2023 22:00,6.8,2.94,86.2,4.7,1013.24,2.7,29,0.2
5/31/2023 22:10,7.8,2.97,83.2,5.2,1013.13,3.2,43,0.2
5/31/2023 22:20,7.5,2.97,84.2,5.1,1013.08,2.1,59,0.2
5/31/2023 22:30,7.4,2.95,85,5.1,1013.04,2.1,49,0.2
5/31/2023 22:40,7.4,2.95,85.6,5.1,1012.82,2.2,42,0.2
5/31/2023 22:50,7.6,2.95,85.9,5.4,1012.78,3.2,50,0.2
5/31/2023 23:00,8.4,2.94,84.3,6,1012.72,3.9,62,0.2
5/31/2023 23:10,8.1,2.93,84,5.6,1012.85,4.1,94,0.2
5/31/2023 23:20,8,2.93,83.3,5.3,1013.18,0.9,63,0.2
5/31/2023 23:30,7.1,2.95,84.8,4.7,1013.49,1.5,132,0.2
5/31/2023 23:40,6.9,2.93,87.6,5,1013.38,2.7,352,0.2
5/31/2023 23:50,8,2.93,85,5.7,1013.39,1.9,6,0.2
6/1/2023 0:00,8.9,2.92,82.5,6.1,1013.21,2.2,40,0.2
6/1/2023 0:10,8.8,2.89,82,5.9,1013.13,2.2,75,0.2
6/1/2023 0:20,8.5,2.88,81.5,5.6,1013.27,2.1,91,0.2
6/1/2023 0:30,7.9,2.91,84.6,5.4,1013.49,2.5,120,0.2
6/1/2023 0:40,8.4,2.91,85.3,6.1,1013.96,1.9,173,0.2
6/1/2023 0:50,9,2.92,82.4,6.1,1014.01,1.1,308,0.2
6/1/2023 1:00,8.4,2.93,84.9,6,1013.79,2,15,0.2
6/1/2023 1:10,9.2,2.92,83,6.5,1013.64,4.4,20,0.2
6/1/2023 1:20,7.8,2.91,85.8,5.6,1013.75,3.1,43,0.2
6/1/2023 1:30,8.9,2.89,83.7,6.3,1013.92,3.4,50,0.2
6/1/2023 1:40,9.7,2.88,80.3,6.5,1014.14,4.2,73,0.2
6/1/2023 1:50,8.4,2.88,83.5,5.8,1014.38,3,89,0.2
6/1/2023 2:00,7.9,2.88,85.6,5.6,1014.37,2.9,78,0.2
6/1/2023 2:10,6.7,2.87,89,5,1014.51,2.3,21,0.2
6/1/2023 2:20,6.7,2.87,90.2,5.2,1014.51,2.7,39,0.2
6/1/2023 2:30,7.1,2.87,89,5.4,1014.59,2.6,48,0.2
6/1/2023 2:40,7.1,2.87,88.8,5.4,1014.71,2.1,45,0.2
6/1/2023 2:50,6.9,2.87,89.6,5.3,1014.87,1.4,54,0.2
6/1/2023 3:00,7.4,2.87,88.6,5.7,1015,1.6,64,0.2
6/1/2023 3:10,7.1,2.86,89.2,5.4,1015.18,2.1,40,0.2
6/1/2023 3:20,6.6,2.86,90.2,5.1,1015.34,1.7,17,0.2
6/1/2023 3:30,7.6,2.86,87.4,5.7,1015.32,2.4,26,0.2
6/1/2023 3:40,7.5,2.86,87.4,5.5,1015.22,2.2,34,0.2
6/1/2023 3:50,7.7,2.86,86.9,5.6,1015.17,1.9,47,0.2
6/1/2023 4:00,7.3,2.86,87.7,5.4,1015.12,1.8,44,0.2
6/1/2023 4:10,7.4,2.86,88.3,5.6,1015.06,1.9,67,0.2
6/1/2023 4:20,7.2,2.86,88.5,5.4,1015.2,1.3,97,0.2
6/1/2023 4:30,6.9,2.86,89.5,5.3,1015.33,1.3,177,0.2
6/1/2023 4:40,7.1,2.86,88.4,5.3,1015.42,1.1,307,0.2
6/1/2023 4:50,6,2.86,92.3,4.8,1015.4,0.9,291,0.2
6/1/2023 5:00,5.8,2.86,93.1,4.8,1015.23,1.9,15,0.2
6/1/2023 5:10,6.5,2.86,91.6,5.2,1015.37,2.1,8,0.2
6/1/2023 5:20,7.4,2.86,88,5.5,1015.52,0.8,94,0.2
6/1/2023 5:30,7.1,2.86,89.5,5.5,1015.68,0.3,173,0.2
6/1/2023 5:40,7,2.86,90.8,5.6,1015.73,0.7,343,0.2
6/1/2023 5:50,7.3,2.86,90.3,5.8,1015.63,1.2,59,0.2
6/1/2023 6:00,7.5,2.86,90.1,6,1015.31,1.5,66,0.2
6/1/2023 6:10,6.8,2.86,90.9,5.5,1015.55,1.2,27,0.2
6/1/2023 6:20,6.3,2.86,94.3,5.4,1015.7,1.1,350,0.2
6/1/2023 6:30,7.1,2.86,92.2,5.9,1015.68,1.5,42,0.2
6/1/2023 6:40,6.3,2.85,92.9,5.2,1015.59,1.8,12,0.2
6/1/2023 6:50,6.8,2.85,93.8,5.8,1015.53,1.5,360,0.2
6/1/2023 7:00,7.4,2.85,93.6,6.4,1015.53,1,32,0.2
6/1/2023 7:10,7.6,2.85,93.4,6.6,1015.61,1.2,96,0.2
6/1/2023 7:20,7.8,2.85,90.5,6.4,1015.49,1.2,70,0.2
6/1/2023 7:30,6.6,2.85,92.7,5.5,1015.41,1.2,2,0.2
6/1/2023 7:40,6.7,2.85,97.3,6.3,1015.42,1,67,0.2
6/1/2023 7:50,6.8,2.86,96.5,6.3,1015.47,1.5,104,0.2
6/1/2023 8:00,6.8,2.85,92.9,5.7,1015.46,0.8,55,0.2
6/1/2023 8:10,5.8,2.85,94.4,4.9,1015.51,0.6,46,0.2
6/1/2023 8:20,6.1,2.85,97.6,5.7,1015.52,0.9,106,0.2
6/1/2023 8:30,6.5,2.85,97.2,6.1,1015.63,1.8,110,0.2
6/1/2023 8:40,7,2.84,93.9,6.1,1015.83,1.9,93,0.2
6/1/2023 8:50,6.5,2.85,94.3,5.6,1015.98,1.7,53,0.2
6/1/2023 9:00,5.5,2.84,94.7,4.7,1016.01,2.7,8,0.2
6/1/2023 9:10,5.6,2.85,94.3,4.8,1015.79,3,8,0.2
6/1/2023 9:20,6,2.85,93.5,5,1015.72,2.2,31,0.2
6/1/2023 9:30,6.2,2.85,93.3,5.2,1015.82,2,63,0.2
6/1/2023 9:40,6,2.85,93.5,5.1,1015.87,2.6,58,0.2
6/1/2023 9:50,5.8,2.85,93.5,4.9,1015.91,2.4,70,0.2
6/1/2023 10:00,5.3,2.85,94.7,4.5,1016.09,2.2,36,0.2
6/1/2023 10:10,5.2,2.85,95,4.5,1016.11,2,22,0.2
6/1/2023 10:20,5.6,2.85,95.2,5,1016.2,2.2,36,0.2
6/1/2023 10:30,6.2,2.86,93.6,5.2,1016.28,2.5,54,0.2
6/1/2023 10:40,5.8,2.86,94.1,4.9,1016.38,1.8,36,0.2
6/1/2023 10:50,5.9,2.86,94.2,5,1016.54,1.8,62,0.2
6/1/2023 11:00,6,2.86,94,5.1,1016.68,1.5,51,0.2
6/1/2023 11:10,6.2,2.86,93.4,5.2,1016.87,1.5,37,0.2
6/1/2023 11:20,6.1,2.87,93.6,5.1,1017.44,1.4,115,0.2
6/1/2023 11:30,6.5,2.87,92.1,5.4,1017.38,4.1,104,0.2
6/1/2023 11:40,5.6,2.88,92.6,4.5,1017.31,3.4,73,0.2
6/1/2023 11:50,5.3,2.88,93.8,4.3,1017.25,2.6,25,0.2
6/1/2023 12:00,5.4,2.89,94,4.5,1017.52,1.5,1,0.2
6/1/2023 12:10,6,2.89,92.5,4.9,1017.56,1.3,32,0.2
6/1/2023 12:20,6.2,2.9,91.6,5,1017.52,1,57,0.2
6/1/2023 12:30,6.6,2.92,90.2,5.1,1017.68,1.1,50,0.2
6/1/2023 12:40,6.8,2.91,89.8,5.3,1017.92,1.6,31,0.2
6/1/2023 12:50,6.6,2.92,90.8,5.2,1018.07,0.8,338,0.2
6/1/2023 13:00,7.3,2.92,88.3,5.5,1018.25,0.6,204,0.2
6/1/2023 13:10,7.1,2.93,89.1,5.4,1018.29,2.1,250,0.2
6/1/2023 13:20,5.8,2.94,92.7,4.7,1018.38,2.2,254,0.2
6/1/2023 13:30,5.8,2.98,93.2,4.8,1018.5,1.9,248,0.2
6/1/2023 13:40,6.4,2.99,92.2,5.2,1018.5,1.3,281,0.2
6/1/2023 13:50,7.1,3,91.3,5.7,1018.51,1.9,314,0.2
6/1/2023 14:00,7.3,3,89.2,5.7,1018.51,1.6,344,0.2
6/1/2023 14:10,8,2.95,87.2,6,1018.45,1.2,15,0.2
6/1/2023 14:20,8.5,2.93,84.8,6.1,1018.51,0.5,123,0.2
6/1/2023 14:30,8.9,2.93,82.7,6.2,1018.52,0.7,150,0.2
6/1/2023 14:40,9.2,2.94,80.6,6,1018.42,1,8,0.2
6/1/2023 14:50,8.3,2.95,85.2,6,1018.31,1.5,55,0.2
6/1/2023 15:00,8.3,2.94,85.7,6,1018.35,1.8,90,0.2
6/1/2023 15:10,8.2,2.95,86.2,6.1,1018.52,1.4,88,0.2
6/1/2023 15:20,7.9,2.96,86.5,5.8,1018.74,0.9,135,0.2
6/1/2023 15:30,8.2,2.97,85.6,5.9,1018.97,0.8,213,0.2
6/1/2023 15:40,7.9,2.97,87.3,5.9,1019.03,1.4,291,0.2
6/1/2023 15:50,7.2,3.01,90.1,5.7,1019.04,1.7,327,0.2
6/1/2023 16:00,8.4,3.11,87.2,6.4,1019.04,2.4,335,0.2
6/1/2023 16:10,9,3.13,85.3,6.7,1019.02,2.5,34,0.2
6/1/2023 16:20,9.2,3.06,85.6,6.9,1018.94,2.6,61,0.2
6/1/2023 16:30,9.8,3.02,84,7.2,1018.91,2.1,65,0.2
6/1/2023 16:40,9.2,3.02,84.8,6.8,1018.74,2.5,38,0.2
6/1/2023 16:50,8.5,3.03,87.7,6.6,1018.81,2.5,47,0.2
6/1/2023 17:00,9.1,3.01,86.1,6.9,1018.7,3.4,71,0.2
6/1/2023 17:10,8.4,3.03,88,6.5,1018.68,3.5,67,0.2
6/1/2023 17:20,8.6,3.07,87.6,6.7,1018.66,3.5,76,0.2
6/1/2023 17:30,8.7,3.05,87.5,6.7,1018.76,2.7,83,0.2
6/1/2023 17:40,7.9,3.09,89.5,6.3,1018.7,2.4,84,0.2
6/1/2023 17:50,7.7,3.09,90.6,6.2,1018.75,2.9,77,0.2
6/1/2023 18:00,7.2,3.08,90.4,5.8,1018.79,2.6,39,0.2
6/1/2023 18:10,6.4,3.06,91.4,5.1,1018.78,3.2,31,0.2
6/1/2023 18:20,6.1,3.11,92.1,4.9,1018.66,2.9,48,0.2
6/1/2023 18:30,5.9,3.13,92.8,4.8,1018.48,2.8,43,0.2
6/1/2023 18:40,5.8,3.18,93.8,4.8,1018.49,2.9,52,0.2
6/1/2023 18:50,5.9,3.24,93.7,4.9,1018.59,2.3,56,0.2
6/1/2023 19:00,5.9,3.17,93.4,4.9,1018.42,2.8,21,0.2
6/1/2023 19:10,5.7,3.13,94.2,4.9,1018.23,3.1,30,0.2
6/1/2023 19:20,5.8,3.15,94.6,5,1018.04,3.3,46,0.2
6/1/2023 19:30,5.8,3.19,94.7,5,1018.21,3.4,58,0.2
6/1/2023 19:40,5.4,3.19,94.8,4.7,1018.48,3.2,43,0.2
6/1/2023 19:50,5.1,3.18,95.7,4.5,1018.65,3.2,10,0.2
6/1/2023 20:00,5.5,3.18,94.9,4.7,1018.73,2,21,0.2
6/1/2023 20:10,5.6,3.19,95,4.9,1018.11,3.5,349,0.2
6/1/2023 20:20,6.4,3.17,94,5.5,1017.99,2.6,44,0.2
6/1/2023 20:30,6.3,3.15,93.5,5.4,1017.91,2.3,24,0.2
6/1/2023 20:40,6.1,3.13,95,5.4,1017.76,3.6,44,0.2
6/1/2023 20:50,7.1,3.11,96.4,6.6,1017.55,3.2,35,0.2
6/1/2023 21:00,7.6,3.12,96,7,1017.37,2.5,46,0.2
6/1/2023 21:10,7.2,3.13,94.5,6.4,1017.58,2.8,91,0.2
6/1/2023 21:20,6.6,3.12,95.6,5.9,1017.81,2.9,54,0.2
6/1/2023 21:30,7.2,3.16,95.2,6.5,1017.91,5,47,0.2
6/1/2023 21:40,6.4,3.18,94.6,5.5,1018.18,4.7,39,0.2
6/1/2023 21:50,5.3,3.2,94.5,4.5,1018.31,5.2,48,0.2
6/1/2023 22:00,5.2,3.18,95.8,4.6,1018.57,6,51,0.2
6/1/2023 22:10,6.4,3.15,96.8,5.9,1018.16,6.9,58,0.2
6/1/2023 22:20,8,3.15,97.7,7.7,1017.79,5.7,58,0.2
6/1/2023 22:30,9,3.16,95.2,8.3,1017.68,4.8,59,0.2
6/1/2023 22:40,8.7,3.16,94.5,7.9,1017.73,4.5,70,0.2
6/1/2023 22:50,8.9,3.16,95.3,8.2,1017.91,4.6,70,0.2
6/1/2023 23:00,8.7,3.16,94,7.8,1018.11,4.2,52,0.2
6/1/2023 23:10,8.1,3.14,95.7,7.5,1017.96,4.3,32,0.2
6/1/2023 23:20,8.2,3.14,96,7.6,1018.05,3.6,34,0.2
6/1/2023 23:30,7.5,3.16,97.1,7.1,1018.28,3.1,72,0.2
6/1/2023 23:40,7.4,3.16,96.1,6.8,1018.49,1.6,75,0.2
6/1/2023 23:50,7.5,3.16,96.1,7,1018.38,3.8,23,0.2
6/2/2023 0:00,7.9,3.14,96.7,7.5,1018.16,3.6,42,0.2
6/2/2023 0:10,8.2,3.13,96.9,7.8,1017.88,4.3,49,0.2
6/2/2023 0:20,7.9,3.14,98,7.7,1017.49,4.9,51,0.2
6/2/2023 0:30,7.7,3.15,98,7.4,1017.38,5.1,57,0.2
6/2/2023 0:40,7.4,3.14,98.5,7.2,1017.38,4.9,58,0.2
6/2/2023 0:50,8.5,3.11,98.4,8.2,1017.37,5.7,62,0.2
6/2/2023 1:00,8.5,3.11,95.7,7.8,1017.64,4.2,57,0.2
6/2/2023 1:10,7.6,3.11,97.5,7.3,1018.28,4.5,72,0.2
6/2/2023 1:20,6.7,3.11,99,6.6,1018.83,4.8,114,0.2
6/2/2023 1:30,7,3.11,99.8,7,1019.23,3.3,328,0.2
6/2/2023 1:40,7.3,3.11,100,7.3,1019.32,1.9,343,0.2
6/2/2023 1:50,7.5,3.09,100,7.5,1019.34,2.3,347,0.2
6/2/2023 2:00,8.2,3.1,100,8.2,1019.21,2.7,7,0.2
6/2/2023 2:10,8,3.1,99.3,7.9,1019.25,2.7,46,0.2
6/2/2023 2:20,7.7,3.1,99.7,7.6,1019.27,4.4,54,0.2
6/2/2023 2:30,7.5,3.1,99.8,7.5,1019.36,3.1,41,0.2
6/2/2023 2:40,6.9,3.1,100,6.9,1019.38,2.5,40,0.2
6/2/2023 2:50,7,3.1,100,7,1019.42,3.2,74,0.2
6/2/2023 3:00,7.1,3.1,100,7.1,1019.45,3.6,39,0.2
6/2/2023 3:10,6.6,3.1,100,6.6,1019.45,4.2,40,0.2
6/2/2023 3:20,6.6,3.1,100,6.6,1019.4,3.2,52,0.2
6/2/2023 3:30,6.3,3.09,100,6.3,1019.64,1.6,16,0.2
6/2/2023 3:40,6.5,3.09,100,6.5,1019.88,1.4,57,0.2
6/2/2023 3:50,6.7,3.08,100,6.7,1020,2,79,0.2
6/2/2023 4:00,6.7,3.08,100,6.7,1020.09,1.3,35,0.2
6/2/2023 4:10,7.1,3.08,100,7.1,1020.08,1.6,9,0.2
